Date, Open, High, Low, Close, Volume
05/30/19, 350.55, 354.21, 348.30, 351.85, 4008042
05/29/19, 353.60, 353.8476, 345.90, 349.19, 5658913
05/28/19, 354.39, 361.20, 353.64, 354.78, 4717144
05/24/19, 355.41, 359.44, 353.791, 354.39, 3830963
05/23/19, 355.50, 357.42, 347.70, 352.21, 5630443
05/22/19, 358.01, 370.46, 357.30, 359.73, 6229389
05/21/19, 350.95, 356.425, 349.93, 354.27, 4026369
05/20/19, 351.23, 352.418, 345.40, 348.11, 4621515
05/17/19, 356.39, 359.62, 353.785, 354.45, 4725448
05/16/19, 356.37, 364.00, 353.935, 359.31, 6441463
05/15/19, 343.34, 356.50, 341.39, 354.99, 6340118
05/14/19, 348.71, 349.95, 342.50, 345.61, 5353029
05/13/19, 352.29, 354.26, 343.10, 345.26, 8026697
05/10/19, 361.62, 365.2578, 353.06, 361.04, 5657123
05/09/19, 360.90, 364.20, 352.75, 362.75, 5882572
05/08/19, 367.92, 369.00, 361.36, 364.37, 6571957
05/07/19, 377.00, 379.91, 365.81, 370.46, 6974924
05/06/19, 377.69, 381.35, 376.00, 378.67, 5793144
05/03/19, 381.53, 385.03, 378.2717, 385.03, 5130301
05/02/19, 378.00, 383.50, 374.51, 379.06, 5398167
05/01/19, 374.00, 385.99, 373.1746, 378.81, 9257284
04/30/19, 369.56, 374.50, 368.348, 370.54, 3870095
04/29/19, 373.68, 374.5753, 369.115, 371.83, 3821703
04/26/19, 368.35, 375.14, 366.24, 374.85, 5621901
04/25/19, 374.49, 374.76, 365.70, 368.33, 6255496
04/24/19, 381.07, 381.90, 373.2698, 374.23, 6541872
04/23/19, 375.45, 384.80, 374.7069, 381.89, 10089820
04/22/19, 359.70, 377.69, 359.00, 377.34, 11980530
04/18/19, 355.00, 360.41, 351.64, 360.35, 8353165
04/17/19, 365.05, 368.764, 350.60, 354.74, 18054100
04/16/19, 355.00, 364.4787, 352.72, 359.46, 18740230
04/15/19, 350.71, 352.21, 342.27, 348.87, 8842344
04/12/19, 360.69, 361.75, 349.36, 351.14, 15646200
04/11/19, 365.00, 370.12, 360.81, 367.65, 6526899
04/10/19, 365.79, 368.8481, 362.25, 363.92, 4545561
04/09/19, 360.54, 366.74, 359.00, 364.71, 5439228
04/08/19, 365.11, 365.94, 359.93, 361.41, 4653810
04/05/19, 369.00, 369.80, 364.66, 365.49, 3905493
04/04/19, 370.07, 372.05, 362.40, 367.88, 4627305
04/03/19, 369.26, 373.4105, 366.19, 369.75, 5376623
04/02/19, 366.25, 368.42, 362.22, 367.72, 5158742
04/01/19, 359.00, 368.33, 358.51, 366.96, 7036097
03/29/19, 357.16, 358.25, 353.71, 356.56, 4705636
03/28/19, 354.485, 355.94, 349.20, 354.61, 4360960
03/27/19, 361.00, 362.47, 350.37, 353.37, 7852370
03/26/19, 367.87, 368.38, 358.02, 359.97, 7666475
03/25/19, 359.00, 367.0399, 357.44, 366.23, 8473845
03/22/19, 375.95, 376.43, 360.04, 361.01, 8661346
03/21/19, 374.00, 379.00, 370.61, 377.87, 8544017
03/20/19, 358.91, 375.90, 357.01, 375.22, 10917170
03/19/19, 366.40, 366.96, 356.80, 358.78, 7541425
03/18/19, 362.47, 370.9705, 361.86, 363.44, 7194726
03/15/19, 361.02, 364.00, 358.89, 361.46, 8443210
03/14/19, 360.50, 363.84, 358.1008, 358.82, 5271429
03/13/19, 355.81, 362.48, 352.765, 361.21, 6444092
03/12/19, 359.37, 360.13, 353.80, 356.27, 5164571
03/11/19, 352.00, 358.98, 350.03, 358.86, 5387285
03/08/19, 345.75, 349.92, 342.47, 349.60, 6898838
03/07/19, 360.16, 362.86, 350.50, 352.60, 6151331
03/06/19, 353.60, 359.88, 351.70, 359.61, 6211895
03/05/19, 351.46, 356.17, 348.25, 354.30, 5937754
03/04/19, 359.72, 362.25, 348.0436, 351.04, 7486996
03/01/19, 362.26, 362.87, 354.6915, 357.32, 5526539
02/28/19, 362.47, 366.39, 357.709, 358.10, 6186763
02/27/19, 363.50, 368.03, 359.80, 362.87, 5629945
02/26/19, 362.98, 365.70, 359.33, 364.97, 4944593
02/25/19, 367.01, 371.49, 363.79, 363.91, 7569320
02/22/19, 360.34, 366.13, 360.05, 363.02, 7088214
02/21/19, 360.03, 362.85, 353.88, 356.97, 6227897
02/20/19, 364.85, 366.71, 356.70, 359.91, 8110741
02/19/19, 355.80, 365.00, 355.32, 361.92, 7396559
02/15/19, 358.47, 364.40, 355.50, 356.87, 9229980
02/14/19, 351.75, 360.45, 348.33, 359.07, 9295338
02/13/19, 357.30, 359.60, 350.28, 351.77, 10559150
02/12/19, 348.09, 360.00, 346.52, 359.97, 10429400
02/11/19, 350.00, 352.87, 344.81, 345.73, 5454863
02/08/19, 338.00, 348.00, 338.00, 347.57, 7561391
02/07/19, 347.90, 348.75, 339.02, 344.71, 7864529
02/06/19, 357.00, 357.04, 347.19, 352.19, 6717662
02/05/19, 353.20, 360.00, 352.90, 355.81, 9046623
02/04/19, 342.60, 352.00, 341.30, 351.34, 9051387
02/01/19, 337.18, 346.84, 336.50, 339.85, 9827760
01/31/19, 339.68, 345.99, 338.0919, 339.50, 8535517
01/30/19, 332.75, 341.78, 330.80, 340.66, 9234530
01/29/19, 335.87, 338.22, 328.151, 328.90, 7655189
01/28/19, 334.70, 336.30, 328.88, 335.66, 8652082
01/25/19, 328.72, 340.00, 328.51, 338.05, 11166610
